博物馆名称,定级,省份,地址,联系方式,官网链接,来源链接,是否需要复核
杭州博物馆,国家一级博物馆,浙江,杭州市上城区粮道山18号,0571-87555637,https://www.hzmuseum.com/,https://wgly.hangzhou.gov.cn/art/2022/11/9/art_1229696394_58942372.html,否
杭州西湖博物馆总馆,国家一级博物馆,浙江,杭州市上城区南山路89号,0571-87882279,https://wgly.hangzhou.gov.cn/art/2022/11/9/art_1229696394_58942375.html,https://wgly.hangzhou.gov.cn/art/2022/11/9/art_1229696394_58942375.html,否
中国茶叶博物馆,国家一级博物馆,浙江,杭州市西湖区龙井路88号;杭州市西湖区翁家山268号,0571-87964221;0571-87964232;0571-87979221,https://www.teamuseum.cn/,https://www.teamuseum.cn/basicInfo/basicIntroduction.htm;https://www.teamuseum.cn/cgjyy/info_6.aspx?itemid=8969;https://www.teamuseum.cn/basicInfo/institutionalSetup.htm,是
杭州工艺美术博物馆,国家一级博物馆,浙江,杭州市拱墅区小河路334号,0571-88197511,https://www.zgdjss.com/,https://wgly.hangzhou.gov.cn/art/2022/12/7/art_1229696394_58943283.html,否
宁波市天一阁博物院（宁波市保国寺古建筑博物馆）,国家一级博物馆,浙江,宁波市天一街10号,未明确,https://www.tianyige.com.cn/,https://www.tianyige.com.cn/,是
宁波中国港口博物馆,国家一级博物馆,浙江,浙江省宁波市北仑区春晓港博路6号,0574-26915555,https://www.portmuseum.cn/,https://www.portmuseum.cn/;https://www.portmuseum.cn/doc/fw/jyzn/index.shtml,否
南湖革命纪念馆,国家一级博物馆,浙江,"嘉兴市南湖区烟雨路186号,七一广场",0573-82854252;0573-82851183,https://www.nanhujng.cn/,https://www.nanhujng.cn/fwzn/202503/t20250306_3113879.shtml;https://www.nanhujng.cn/fwzn/202503/t20250306_3105610.shtml,否
舟山博物馆,国家一级博物馆,浙江,舟山市定海区海天大道610号,0580-8230561,http://www.zsbwg.com/,https://govt.chinadaily.com.cn/s/202104/20/WS607e736b498e7a02c6f6aecd/zhoushan-museum.html,否
中国水利博物馆,国家一级博物馆,浙江,浙江省杭州市萧山区水博大道1号,未明确,https://www.nwmc.cn/,https://www.nwmc.cn/upload/2023/09/27/2b3ceb3b-5c32-440a-bb3e-669d96a7152e.pdf,是
杭州市临平博物馆,国家一级博物馆,浙江,杭州市临平区南苑街道南大街95号,0571-89172233,https://www.linping.gov.cn/art/2022/6/30/art_1229595444_4060830.html,https://www.linping.gov.cn/art/2022/6/30/art_1229595444_4060830.html,否
杭州市萧山跨湖桥遗址博物馆,国家一级博物馆,浙江,萧山区湘湖路978号（近湘湖）,0571-83869286,https://www.xiaoshan.gov.cn/art/2022/12/19/art_1229708280_59081592.html,https://www.xiaoshan.gov.cn/art/2022/12/19/art_1229708280_59081592.html,否
浙江大学艺术与考古博物馆,国家一级博物馆,浙江,浙江省杭州市西湖区余杭塘路866号 浙大紫金港校区（邮编310058）,0571-87072306,https://www.zju.edu.cn/english/2023/0316/c74932a2729537/page.psp,https://zjumaa.zju.edu.cn/main.htm,否
良渚博物院,国家一级博物馆,浙江,中国·杭州市余杭区美丽洲路1号,0571-88773875,https://www.lzmuseum.cn/,https://www.lzmuseum.cn/,否
嘉兴博物馆（嘉兴马家浜文化博物馆）,国家一级博物馆,浙江,浙江省嘉兴市海盐塘路485号,83677092,https://www.jiaxing.gov.cn/art/2024/9/24/art_1536295_22023564.html,https://whgdlyj.jiaxing.gov.cn/art/2023/7/13/art_1229601664_181055.html,否
绍兴博物馆,国家一级博物馆,浙江,浙江省绍兴市越城区偏门直街75号,0575-85096361,https://sxwg.sx.gov.cn/art/2025/4/29/art_1229488561_59017486.html,https://sxwg.sx.gov.cn/art/2024/7/10/art_1229535057_59016251.html,否
丽水市博物馆,国家一级博物馆,浙江,丽水市大猷街30号（滨水公园西侧）,0578-2050928,https://lsbwg.cn/,https://www.lsbwg.cn/,否
安徽博物院,国家一级博物馆,安徽,安徽省合肥市怀宁路87号；安徽省合肥市安庆路268号,0551-63736658;0551-62820945,https://www.ahm.cn/Home/Index,https://www.ahm.cn/News/Details/tzgg?nid=13321,否
安徽中国徽州文化博物馆,国家一级博物馆,安徽,黄山市屯溪区迎宾大道50号,0559-2574144;0559-2574155,https://www.hzwhbwg.com/,https://www.huangshan.gov.cn/zjhs/sjhs/xhs/csfg/8314151.html;https://www.huangshan.gov.cn/zwgk/public/6615714/11323553.html,否
安徽省地质博物馆,国家一级博物馆,安徽,安徽省合肥市政务区仙龙湖路999号安徽省地质博物馆,0551-63548008,https://www.ahgm.org.cn/front/,https://www.ahgm.org.cn/m/info.php?class_id=112103,否
淮北市博物馆,国家一级博物馆,安徽,安徽省淮北市相山区博物馆路1号,0561-3922071,https://www.hbbwg.net/,https://wlt.huaibei.gov.cn/gzdt/tzgg/58013176.html,否
宿州市博物馆,国家一级博物馆,安徽,安徽省宿州市埇桥区博物馆路1号,0557-3021012;0557-3020016,https://www.sz-museum.com/,https://www.sz-museum.com/channel/31.html?commonshow=963&wd=sjhd;https://www.sz-museum.com/channel/25.html?jbcl_id=1001&wd=jbcl,否
蚌埠市博物馆,国家一级博物馆,安徽,安徽省蚌埠市蚌山区东海大道市民广场,0552-2042312,https://www.ahbbmuseum.com/,https://govt.chinadaily.com.cn/s/202103/08/WS6045f7c8498e7a02c6f69a47/bengbu-museum.html,否
安徽楚文化博物馆（寿县博物馆）,国家一级博物馆,安徽,寿县新城区宾阳大道与明珠大道交叉口东北隅,0554-2752966,https://www.ahccm.cn/,https://www.shouxian.gov.cn/public/118322773/1260528143.html,否
安庆博物馆,国家一级博物馆,安徽,安徽省安庆市经开区潜江路8号,0556-5568518,https://www.aqbwg.cn/,https://www.aqbwg.cn/detail?id=1274,否
阜阳市博物馆,国家一级博物馆,安徽,城南新区中清河西侧、八里松路北,0558-2286037,https://fysgj.fy.gov.cn/detail-704.html,https://govt.chinadaily.com.cn/s/202502/11/WS67ab0c57498eec7e1f72efcd/fuyang-museum.html,是
福建博物院,国家一级博物馆,福建,福建省福州市鼓楼区湖头街96号,0591-83757627,https://museum.fjsen.com/,https://wlt.fujian.gov.cn/jggk/zsdw/201911/t20191112_5090085.htm;https://wlt.fujian.gov.cn/hdjl/wdxd/202502/t20250221_6766737.htm,否
古田会议纪念馆,国家一级博物馆,福建,福建省上杭县古田镇,未明确,https://www.81.cn/2014gthy/2014-08/29/content_6116966.htm,https://govt.chinadaily.com.cn/s/201811/30/WS5c00dbbd498eefb3fe46d6aa/gutian-congress-memorial.html,是
福建省泉州海外交通史博物馆,国家一级博物馆,福建,泉州市丰泽区东湖街425号,0595-22100939;0595-22100561,https://www.qzhjg.com/,https://www.quanzhou.gov.cn/zfb/xxgk/ztxxgk/ggwhty/whssml/201811/t20181109_788393.htm,是
中国闽台缘博物馆,国家一级博物馆,福建,福建省泉州市区北清东路212号,0595-22751800,http://www.mtybwg.org.cn/,https://www.quanzhou.gov.cn/zfb/xxgk/ztxxgk/ggwhty/whssml/201811/t20181109_788393.htm,否
中央苏区（闽西）历史博物馆,国家一级博物馆,福建,龙岩市新罗区北环西路51号,13850690895,https://www.crt.com.cn/hsmx/,https://ggzy.longyan.gov.cn/lyztb/zqcg/008004/008004001/008004001003/20221107/7ea4bdad-a8e6-4184-a21b-e4ceb3c6c2f9.html,否
华侨博物院,国家一级博物馆,福建,思明南路493号,0592-2085345,https://www.hqbwy.org.cn/,https://govt.chinadaily.com.cn/s/202502/13/WS67adbe41498eec7e1f72f3c2/overseas-chinese-museum.html,否
厦门市博物馆,国家一级博物馆,福建,厦门市体育路95号文化艺术中心,0592-5371607;0592-5371609;0592-5371658,https://www.xmmuseum.com/,https://www.xmmuseum.com/pcen/serviceguide/serviceguide/,否
井冈山革命博物馆,国家一级博物馆,江西,井冈山市茨坪红军南路5号1栋,0796-6552449,https://jgsgmbwg.com/,https://www.jgsgmbwg.com/,否
江西省博物馆,国家一级博物馆,江西,南昌市赣江北大道698号,0791-88233369,https://www.jxmuseum.cn/,https://edu.nc.gov.cn/ncjyj/xjzx/202206/8720958eb0954706aad51871cb9dd575.shtml,否
瑞金中央革命根据地纪念馆,国家一级博物馆,江西,江西省瑞金市城西龙珠路1号,0797-2522063,https://www.rjjng.com.cn/,https://www.rjjng.com.cn/,否
南昌八一起义纪念馆,国家一级博物馆,江西,南昌市西湖区中山路380号,0791-86613806;0791-86613323,https://www.nc.gov.cn/ncszf/rwfg/202208/ae5ef257ee2049e8842d2b2e7b0db2c7.shtml,https://xhq.nc.gov.cn/xhqrmzf/lvyou/202511/5c70b078ec75442792f98d0e3a1731a7.shtml,否
安源路矿工人运动纪念馆,国家一级博物馆,江西,江西省萍乡市安源区,0799-6353658,https://www.ayjng.cn/,https://govt.chinadaily.com.cn/s/201812/17/WS5c175ad6498ee2f0291e3f07/anyuan-railway-workers-and-miners-strike-memorial.html,是
八大山人纪念馆,国家一级博物馆,江西,南昌市青云谱区青云谱路259号,0791-85273565;0791-85277236,https://www.nc.gov.cn/ncszf/rwfg/202505/55be9e25a96b43ba980e071206595fae.shtml,https://www.nc.gov.cn/ncszf/whtya/202204/c10e54cf79f44cd694469c865d13d7c5.shtml,否
九江市博物馆,国家一级博物馆,江西,,,,,是
江西省庐山博物馆,国家一级博物馆,江西,庐山风景名胜区芦林一号,0792-8288062;0792-8281331,https://www.lushanmuseum.cn/,https://www.lushan.gov.cn/bmxzxxgk/bumeng/whgdxwcbj/fdzdgknr_195359/ggwh/202507/t20250730_6983718.html;https://www.lushanmuseum.cn/news_info.asp?id=2702,否
赣州市博物馆,国家一级博物馆,江西,赣州市章贡区赣康路,0797-8681285;0797-8681269,https://www.gzsbwg.cn/,https://www.gzsbwg.cn/225.html,否
景德镇中国陶瓷博物馆,国家一级博物馆,江西,景德镇市昌江区紫晶北路1号,0798-8253701,http://www.zgtcbwg.com/,https://www.jdzcct.com/yyjx.html,是
萍乡博物馆,国家一级博物馆,江西,萍乡市滨河东路376号,0799-6779925;0799-6779926;0799-6832694,https://www.pxmuseum.com/,https://www.pxmuseum.com/h-nd-116.html;https://www.pxmuseum.com/nd.jsp?id=114,否
江西省革命烈士纪念堂,国家一级博物馆,江西,未明确,未明确,http://www.jxhth.cn/,http://www.jxhth.cn/,是
南昌汉代海昏侯国遗址博物馆,国家一级博物馆,江西,未明确,未明确,https://hhhmuseum.cn/,https://hhhmuseum.cn/,是
景德镇御窑博物院,国家一级博物馆,江西,景德镇市莲社北路169号,0798-8222860,https://www.jdzyybwy.com/,https://jdzyybwy.com/jdzmu/frontend/pg/article/id/I00004740,否
于都中央红军长征集结出发历史博物馆,国家一级博物馆,江西,江西省赣州市于都县渡江大道690号,0797-6223-126(中央红军长征出发地历史博物馆);0797-6289-289(中央红军长征出发纪念馆),https://www.ydczcfmuseum.cn/,https://www.ydczcfmuseum.cn/article/3263,否
吉安市博物馆,国家一级博物馆,江西,未明确,未明确,http://www.jabwg.cn/,http://www.jabwg.cn/,是
上饶市博物馆,国家一级博物馆,江西,未明确,未明确,http://www.srsbwg.cn/,http://www.srsbwg.cn/,是
青岛市博物馆,国家一级博物馆,山东,山东省青岛市崂山区梅岭东路51号,0532-88896286,https://www.qingdaomuseum.cn/,https://www.qingdaomuseum.cn/service/routes;https://www.qingdaomuseum.cn/visit,否
中国甲午战争博物院,国家一级博物馆,山东,山东省威海市环翠区丁公路,未明确,http://www.jiawuzhanzheng.org/,https://www.chinaservicesinfo.com/s/201812/04/WS5ce66669498e079e680217aa/museum-of-the-sino-japanese-war-1894-1895.html,是
青州市博物馆,国家一级博物馆,山东,未明确,未明确,https://www.qingzhou.gov.cn/bwg/fw/cgyy/,https://www.qingzhou.gov.cn/bwg/fw/cgyy/,是
山东博物馆,国家一级博物馆,山东,济南市经十路11899号,0531-85058202;0531-85058201,https://www.sdmuseum.com.cn/,https://zwfw.sd.gov.cn/art/2015/10/14/art_385_44.html,否
烟台市博物馆,国家一级博物馆,山东,烟台市芝罘区南大街61号,0535-6232976,http://www.ytmuseum.com/,https://www.yantai.gov.cn/art/2022/7/28/art_43273_2967890.html,否
潍坊市博物馆,国家一级博物馆,山东,未明确,未明确,http://www.wfsbwg.com/index.asp,https://www.sdmuseum.com.cn/;https://www.wfsbwg.com/index.asp,是
孔子博物馆,国家一级博物馆,山东,未明确,未明确,https://www.kzbwg.cn/,,是
济南市博物馆,国家一级博物馆,山东,济南市历下区经十一路30号,0531-82959204,http://www.jnmuseum.com,https://jnwl.jinan.gov.cn/art/2023/8/28/art_97687_4775968.html,否
济南市章丘区博物馆,国家一级博物馆,山东,济南市章丘区双山西街文博中心,0531-83213028,https://jnwl.jinan.gov.cn/art/2025/10/14/art_97687_4775968.html,https://jnwl.jinan.gov.cn/art/2025/10/14/art_97687_4775968.html,是
山东大学博物馆,国家一级博物馆,山东,山东省济南市历城区山大南路27号山东大学中心校区知新楼27层;山东省青岛市即墨区滨海路72号山东大学青岛校区,0531-88366337;0531-88362424;0532-58630251;0532-58630252,https://museum.sdu.edu.cn/,https://museum.sdu.edu.cn/lxwm.htm,是
青岛啤酒博物馆,国家一级博物馆,山东,山东省青岛市市北区登州路56号,400-169-1903;0532-83833437,https://www.tsingtaomuseum.com/,https://www.tsingtao.com.cn/MT/product/FashionMuseum.html,否
青岛山炮台遗址展览馆,国家一级博物馆,山东,青岛市市北区京山路26号,0532-82791918;0532-82791919,https://www.qdyzyzmuseum.com/,https://www.qdyzyzmuseum.com/Home/About/content/pageid/5,否
淄博陶瓷琉璃博物馆,国家一级博物馆,山东,张店区华光路320号,未明确,https://boftec.zibo.gov.cn/cec/charm/detail?charmid=805,https://www.zibo.gov.cn/art/2023/7/18/art_19725_2744417.html,是
齐文化博物院,国家一级博物馆,山东,山东省淄博市临淄区临淄大道308号,0533-6292898;0533-6200052转6630;0533-6200052转6625;0533-6074566;0533-7175778,https://www.qiheritagemuseum.com/,https://www.qiheritagemuseum.com/lxwm.html,否
山东省滕州市博物馆,国家一级博物馆,山东,,,,,是
滕州市汉画像石馆,国家一级博物馆,山东,滕州市府前东路1号,0632-5615263,https://www.tzhhxsg.com/,https://www.tzhhxsg.com/,否
济宁市博物馆（朱复戡艺术馆）,国家一级博物馆,山东,济宁市太白湖新区运河路140号,0537-2205009;0537-2883196,https://www.jiningmuseum.com/,https://www.jiningmuseum.com/list/article_details.do?articleId=3492,否
临沂市博物馆,国家一级博物馆,山东,临沂市北城新区兰陵路10号,0539-8185935,https://museum.linyi.cn/,http://museum.linyi.cn/info/1283/5652.htm;http://museum.linyi.cn/info/1183/4981.htm,否
中国人民解放军海军博物馆,国家一级博物馆,山东,青岛市市南区莱阳路8号,0532-82876888;0532-82866784,https://www.hjbwg.com/,https://www.dailyqd.com/guanhai/408998_1.html,否
青岛德国总督楼旧址博物馆（青岛市城市文化遗产保护中心）,国家一级博物馆,山东,未明确,未明确,http://www.qdybg.com/,http://www.qdybg.com/,是
青岛海洋科技馆（青岛海产博物馆、青岛水族馆）,国家一级博物馆,山东,山东省青岛市市南区莱阳路2号,0532-82868088,https://www.qdaqua.cn/,https://www.qdaqua.cn/introduction_museum.html,否
淄博市博物馆,国家一级博物馆,山东,山东省淄博市张店区商场西路153号,0533-2287817;0533-2152253,https://boftec.zibo.gov.cn/cec/charm/detail?charmid=313,https://wh.zibo.gov.cn/art/2017/9/18/art_4110_670827.html,否
蒲松龄博物馆,国家一级博物馆,山东,山东省淄博市淄川区洪山镇蒲家庄蒲松龄纪念馆,（0533）5811643,https://wh.zibo.gov.cn/art/2017/9/18/art_4110_670826.html,https://wh.zibo.gov.cn/art/2017/9/18/art_4110_670826.html,否
枣庄市博物馆,国家一级博物馆,山东,未明确,未明确,https://whhly.shandong.gov.cn/art/2024/5/24/art_100579_10338308.html,https://whhly.shandong.gov.cn/art/2024/5/24/art_100579_10338308.html,是
张裕酒文化博物馆,国家一级博物馆,山东,山东省烟台市芝罘区大马路56号,0535-6633860;0535-6632892,https://www.cymuseum.cn/,https://www.cymuseum.cn/lianxi/,否
临朐县博物馆,国家一级博物馆,山东,潍坊市临朐县民主路3268号,0536-3212242,https://www.linqu.gov.cn/lqdt/tpxw/202508/t20250827_820920.html,https://www.linqu.gov.cn/102/7474/1797548869379297280.html,否
邹城博物馆,国家一级博物馆,山东,邹城市顺河路56号,0537-5253301,https://zcbwg.cn/,https://www.jining.gov.cn/art/2020/12/28/art_65755_2711932.html,否
日照市博物馆,国家一级博物馆,山东,未明确,未明确,https://whhly.shandong.gov.cn/art/2024/5/24/art_100579_10338308.html,https://whhly.shandong.gov.cn/art/2024/5/24/art_100579_10338308.html,是
德州市博物馆,国家一级博物馆,山东,未明确,未明确,https://whhlyj.dezhou.gov.cn/n3493486/c31970828/content.html,https://whhlyj.dezhou.gov.cn/n3493486/c31970828/content.html,是
聊城中国运河文化博物馆,国家一级博物馆,山东,山东省聊城市东昌西路88号,0635-6066123;0635-6066111;0635-6066106,https://www.yunhebowuguan.cn/,https://www.yunhebowuguan.cn/page_5.html,否
滨州市博物馆,国家一级博物馆,山东,未明确,未明确,https://whhly.shandong.gov.cn/art/2024/5/24/art_100579_10338308.html,https://whhly.shandong.gov.cn/art/2024/5/24/art_100579_10338308.html,是
巨野县博物馆,国家一级博物馆,山东,巨野县麒麟大道麟州人民公园西侧,0530-8161877,https://www.juyebwg.com/,https://www.juyebwg.com/?id=13,否
河南博物院,国家一级博物馆,河南,中国·河南省郑州市农业路8号,0371-65393166;0371-65393188,https://www.chnmus.net/,https://www.chnmus.net/ch/institution/index.html,否
郑州博物馆,国家一级博物馆,河南,河南省郑州市中原区文翰街9号,0371-67711767,https://wap.hnzzmuseum.com/,https://wap.hnzzmuseum.com/tickets/2.html,否
洛阳博物馆,国家一级博物馆,河南,河南省洛阳市洛龙区聂泰路,17503793368;0379-69901002,https://www.lymuseum.cn/,https://www.lymuseum.cn/server/,否
南阳汉画馆,国家一级博物馆,河南,南阳市汉画街398号,0377-62061279,http://nyhhg.com/,https://lyj.nanyang.gov.cn/2024/02-21/396999.html,否
开封市博物馆,国家一级博物馆,河南,开封市郑开大道与六大街交叉口,0371-23299192;0371-23299187,https://wgl.kaifeng.gov.cn/kfswhgdhlyj/swgljjsdw/pc/content/content_1804021984149164032.html,https://wgl.kaifeng.gov.cn/kfswhgdhlyj/swgljjsdw/pc/content/content_1804021984149164032.html,否
鄂豫皖苏区首府革命博物馆,国家一级博物馆,河南,河南省新县首府路文博新村004号,13523886483,http://www.eywsqsfbwg.com/,https://xinyang.zfcg.henan.gov.cn/cmsweb81e27e/nas/webfile2024/xysxx/rootfiles/2026/02/10/a2d77dfe64d24a90a8f768cd838d7eb1.pdf,否
中国文字博物馆,国家一级博物馆,河南,安阳市人民大道东段,0372-2266005;0372-2266031,https://www.wzbwg.com/,https://www.wzbwg.com/,否
平顶山博物馆,国家一级博物馆,河南,平顶山市长安大道与怀仁路交叉口平安广场西侧,0375-2660518,https://wglj.pds.gov.cn/contents/12520/241021.html,https://wglj.pds.gov.cn/contents/12520/241021.html,否
安阳博物馆,国家一级博物馆,河南,未明确,未明确,http://www.aybwg.org,https://wwj.henan.gov.cn/2022/02-24/2403500.html,是
河南自然博物馆,国家一级博物馆,河南,河南省郑州市金水东路18号,0371-68108999,https://www.hngm.org.cn/,https://www.hngm.org.cn/?c=Page&cateid=1,否
洛阳古墓博物馆（河南古代壁画馆）,国家一级博物馆,河南,河南省洛阳市老城区机场路6号,0379-62260019;0379-69896198;0379-62265740,https://www.gumumuseum.com/,https://www.gumumuseum.com/guide,否
二里头夏都遗址博物馆,国家一级博物馆,河南,河南省洛阳市偃师区斟鄩大道1号,0379-65091899;0379-65091800,https://www.eltxdmuseum.com/,https://www.eltxdmuseum.com/serve/0,否
南阳市博物院,国家一级博物馆,河南,南阳市鼎盛大道369号,0377-60327999;0377-60163696,https://www.henan.gov.cn/2024/05-27/2998755.html,https://lyj.nanyang.gov.cn/bgdh/;https://lyj.nanyang.gov.cn/2024/02-21/396999.html,否
鄂豫皖革命纪念馆,国家一级博物馆,河南,信阳市浉河区北京路红军广场,0376-6352016,https://www.eywgmjng.cn/,https://www.eywgmjng.cn/,否
湖北省博物馆,国家一级博物馆,湖北,武汉市武昌区东湖路160号,027-86716789,https://www.hbww.org.cn/,https://m-www.hbww.org.cn/yyxz/p/9085.html,否
荆州博物馆,国家一级博物馆,湖北,未明确,0716-8494808;0716-8494574;0716-4170822,https://www.jzmsm.org/,https://www.jzmsm.org/about/index-cate_id-2.html,是
武汉博物馆,国家一级博物馆,湖北,江汉区青年路373号,027-85601377;027-85872318;027-65650603,http://www.whmuseum.com.cn/,https://wlj.wuhan.gov.cn/zfxxgk/fdzdgknr/jgjj/zsdw/202008/t20200827_1437246.shtml,否
辛亥革命博物院（辛亥革命武昌起义纪念馆）,国家一级博物馆,湖北,武汉市武昌区武珞路1号,027-88875305;027-88051911,http://www.1911museum.cn/,https://wlj.wuhan.gov.cn/zfxxgk/fdzdgknr/jgjj/zsdw/202302/t20230215_2153253.shtml,是
武汉市中山舰博物馆,国家一级博物馆,湖北,武汉市江夏区金口街中山舰路特1号,81561938,https://wlj.wuhan.gov.cn/zfxxgk/fdzdgknr/jgjj/zsdw/202008/t20200827_1437237.shtml,https://wlj.wuhan.gov.cn/zfxxgk/fdzdgknr/jgjj/zsdw/202008/t20200827_1437237.shtml,否
武汉革命博物馆,国家一级博物馆,湖北,武昌区红巷13号,未明确,https://www.wuchang.gov.cn/zjwc/wcly/yu/bwg/202103/t20210323_1655221.html,https://www.wuchang.gov.cn/zjwc/wcly/yu/bwg/202103/t20210323_1655221.html,是
长江文明馆（武汉自然博物馆）,国家一级博物馆,湖北,未明确,未明确,https://www.whnhm.com/,https://www.whnhm.com/,是
宜昌博物馆,国家一级博物馆,湖北,湖北省宜昌市伍家岗区求索路,0717-6555525,https://www.ycbwg.com/,https://www.ycbwg.com/about/contact.html,否
随州市博物馆,国家一级博物馆,湖北,,,,,是
襄阳市博物馆（襄阳市文物考古研究所、襄阳市文物修复中心）,国家一级博物馆,湖北,,,,,是
鄂州市博物馆,国家一级博物馆,湖北,湖北省鄂州市鄂城区寒溪路7号,027-53018780;027-53018900,https://www.ezbwg.com/,https://www.ezbwg.com/ReadNews-rss.asp?NewsID=184,否
恩施土家族苗族自治州博物馆,国家一级博物馆,湖北,,,,https://www.hbsbb.gov.cn/esbb/col567/21659.html,是
湖南博物馆,国家一级博物馆,湖南,中国湖南省长沙市东风路50号,0731-84415833;0731-84475933;0731-84514630,https://www.hnmuseum.com/,https://www.hnmuseum.com/zh-hans/content/%E8%81%94%E7%B3%BB%E6%88%91%E4%BB%AC,否
韶山毛泽东同志纪念馆,国家一级博物馆,湖南,未明确,0731-55685157,https://www.ssmzd.com/,https://www.ssmzd.com/channel/30194.html,是
刘少奇同志纪念馆,国家一级博物馆,湖南,湖南省长沙市雨花区时代阳光大道238号A座,0731-84420182,https://wwj.hunan.gov.cn/wwj/c100359/201407/t20140702_10493407.html,https://wwj.hunan.gov.cn/wwj/c100359/201407/t20140702_10493407.html,否
长沙简牍博物馆,国家一级博物馆,湖南,长沙市天心区白沙路92号,0731-85425680;0731-85425676;0731-85425666,https://www.chinajiandu.cn/Survey/Index,https://www.chinajiandu.cn/News/Details/jgsz,否
长沙市博物馆,国家一级博物馆,湖南,,,,,是
胡耀邦同志纪念馆,国家一级博物馆,湖南,未明确,未明确,http://www.huyaobangguli.com/,http://www.huyaobangguli.com/,是
湖南省地质博物馆,国家一级博物馆,湖南,长沙市天心区杉木冲路,0731-89991302,http://www.hndzbwg.com/#/,https://zrzyt.hunan.gov.cn/zrzyt/xxgk/qtxx/sxfc/201703/t20170328_4166469.html;https://zrzyt.hunan.gov.cn/zrzyt/xxgk/tzgg/rsxxn/zkxxn/202507/t20250709_33734036.html,否
秋收起义文家市会师纪念馆,国家一级博物馆,湖南,未明确,未明确,https://m.qsqyhsjng.com/,https://m.qsqyhsjng.com/col.jsp?id=108,是
株洲博物馆（株洲市考古研究和文物保护中心）,国家一级博物馆,湖南,株洲市天元区珠江北路205号（神农城景区内）,0731-22833321;0731-22833361,https://zzsmuseum.cn/,https://zzsmuseum.cn/about/all.html,否
醴陵市博物馆（毛泽东考察湖南农民运动纪念馆）,国家一级博物馆,湖南,醴陵市东正街30号,0731-23388766,https://www.llsbwg.org.cn/,https://www.llsbwg.org.cn/zhanlan/xiannongtan,是
广东省博物馆（广州鲁迅纪念馆）,国家一级博物馆,广东,广东省广州市天河区珠江新城珠江东路2号,020-38046886,https://www.gdmuseum.com/cn,https://www.gdmuseum.com/cn,否
南越王博物馆,国家一级博物馆,广东,广州市越秀区中山四路316号;广州市越秀区解放北路867号,020-83896501;020-36182920,https://www.nywmuseum.org.cn/,https://www.nywmuseum.org.cn/News/VisitIndex/Visit,是
孙中山故居纪念馆,国家一级博物馆,广东,广东省中山市翠亨村,0760-5501691-2288,http://www.sunyat-sen.org/,https://www.sunyat-sen.org/portal/article/index.html?cid=25&id=25611,否
深圳博物馆,国家一级博物馆,广东,"No. 6 Tongxin Road, Futian District, Shenzhen",0755-88132247,https://www.shenzhenmuseum.com/,https://cdn1.shenzhenmuseum.com/userfiles/uploadFile/20240428083839.pdf,否
广州博物馆,国家一级博物馆,广东,广州市越秀公园内镇海楼,020-83550627,https://www.guangzhoumuseum.cn/website_cn/Web/Visit/Introduction.aspx,https://www.guangzhoumuseum.cn/website_cn/Web/Visit/Introduction.aspx,否
广东民间工艺博物馆,国家一级博物馆,广东,广州市中山七路,020-81819653;020-81814559,https://www.gzcjc.com.cn/,https://www.gzcjc.com.cn/MYwebsite/rc/my_index.htm,否
广州艺术博物院,国家一级博物馆,广东,广州市海珠区艺苑路198号,020-39061000;020-39061009,https://www.gzam.com.cn/,https://www.gzam.com.cn/,否
广东中国客家博物馆,国家一级博物馆,广东,中国广东省梅州市梅江区东山大道2号,0753-2253668;0753-2258830,https://www.kjbwg.cn/,https://www.kjbwg.cn/list/page/13;https://www.kjbwg.cn/zwgk/fw/yyfw/index.htm,否
鸦片战争博物馆,国家一级博物馆,广东,虎门海战馆路,0769-85500322,https://www.gd.gov.cn/zjgd/lyxx/hsly/content/post_108957.html,https://www.gd.gov.cn/zjgd/content/post_3881307.html,否
广东海上丝绸之路博物馆,国家一级博物馆,广东,未明确,未明确,https://www.msrmuseum.com/,https://www.msrmuseum.com/,是
孙中山大元帅府纪念馆,国家一级博物馆,广东,广州市海珠区纺织路东沙街18号,020-89012366,https://ads.dyshf.com/,https://www.dyshf.com/index.php?c=list&cs=cgxzhi,否
广东革命历史博物馆（广州近代史博物馆）,国家一级博物馆,广东,广州市白云区云安路119号广州市社会科学院,(020)86464353,https://www.gzass.gd.cn/whzc/wenhuasheshi/bowuguan/168.html,https://www.gzass.gd.cn/whzc/wenhuasheshi/bowuguan/168.html,否
辛亥革命纪念馆,国家一级博物馆,广东,未明确,未明确,https://www.hp.gov.cn/zjhp/hpjd/content/post_3610416.html,https://www.hp.gov.cn/zjhp/hpjd/content/post_3610416.html,是
佛山市祖庙博物馆,国家一级博物馆,广东,未明确,未明确,https://www.fszumiao.com/,https://www.fszumiao.com/,是
江门市博物馆,国家一级博物馆,广东,江门五邑华侨广场内,0750-3936219,https://www.jiangmen.gov.cn/jmwgj/gkmlpt/content/2/2857/post_2857817.html,https://www.jiangmen.gov.cn/bmpd/jmswhgdlytyj/zwgk/gzdt/content/post_3331211.html;https://www.jiangmen.gov.cn/bmpd/jmswhgdlytyj/zwgk/zdlyxxgk/ggwhtyxxgk/fwbzxx/content/post_3435030.html,是
广西壮族自治区博物馆,国家一级博物馆,广西,广西壮族自治区南宁市古城路21号,0771-2707027,https://www.kd1699.cn/,https://www.kd1699.cn/,否
